rows,cols,format,to_arrow,to_pandas
20000,10,csv,0.0032720565795898438,0.0011420249938964844
20000,10,parquet,0.0013039112091064453,0.0006339550018310547
20000,10,feather,0.0017888545989990234,0.0006699562072753906
50000,10,csv,0.0027010440826416016,0.0012769699096679688
50000,10,parquet,0.001538991928100586,0.0006170272827148438
50000,10,feather,0.0015060901641845703,0.0008318424224853516
100000,10,csv,0.0024471282958984375,0.0009458065032958984
100000,10,parquet,0.002254009246826172,0.0016469955444335938
100000,10,feather,0.0019898414611816406,0.0013880729675292969
200000,10,csv,0.003220081329345703,0.0015439987182617188
200000,10,parquet,0.0027480125427246094,0.0014491081237792969
200000,10,feather,0.003014087677001953,0.0008490085601806641
300000,10,csv,0.004375934600830078,0.003259897232055664
300000,10,parquet,0.003773927688598633,0.0027189254760742188
300000,10,feather,0.004057168960571289,0.0013818740844726562
500000,10,csv,0.004944324493408203,0.0046825408935546875
500000,10,parquet,0.005916118621826172,0.004828929901123047
500000,10,feather,0.005857944488525391,0.004729032516479492
1000000,10,csv,0.009347677230834961,0.00885915756225586
1000000,10,parquet,0.010412216186523438,0.009259700775146484
1000000,10,feather,0.010915040969848633,0.009013891220092773
2500000,10,csv,0.02223992347717285,0.01678323745727539
2500000,10,parquet,0.02045297622680664,0.016202926635742188
2500000,10,feather,0.024899005889892578,0.01470494270324707
5000000,10,csv,0.04473876953125,0.022835254669189453
5000000,10,parquet,0.04501175880432129,0.02057504653930664
5000000,10,feather,0.049218177795410156,0.02094888687133789
10000000,10,csv,0.0915372371673584,0.03874683380126953
10000000,10,parquet,0.08394980430603027,0.03069305419921875
10000000,10,feather,0.09130120277404785,0.032129764556884766
25000000,10,csv,0.2142016887664795,0.0704808235168457
25000000,10,parquet,0.2188558578491211,0.07653975486755371
25000000,10,feather,0.2162008285522461,0.08755826950073242
50000000,10,csv,0.42251086235046387,0.20881295204162598
50000000,10,parquet,0.4423840045928955,0.17167377471923828
50000000,10,feather,0.49546384811401367,0.3000221252441406
